site_id,price_cpl,reported_at,region,latitude,longitude,scraped_at
61401544,215.9,2025-12-02T16:00:29.987,North,-27.44523630788419,153.02938104662704,2025-12-03 02:13:22
61401545,194.9,2025-12-01T20:22:07.197,South,-27.536391,153.087947,2025-12-03 02:13:22
61401546,203.9,2025-12-02T16:00:29.987,South,-27.622437,153.127984,2025-12-03 02:13:22
61401547,219.9,2025-12-01T19:24:00,South,-27.644668,153.118247,2025-12-03 02:13:22
61401550,212.9,2025-12-02T02:37:19.167,South,-27.580123,153.124691,2025-12-03 02:13:22
61401551,219.9,2025-12-02T16:00:00,South,-27.507567,152.940427,2025-12-03 02:13:22
61401554,219.9,2025-11-23T01:15:52.87,South,-27.526712,153.055956,2025-12-03 02:13:22
61401555,167.9,2025-12-01T15:28:01.24,South,-27.627909,153.117731,2025-12-03 02:13:22
61401560,219.9,2025-11-21T00:11:58.843,North,-27.410487,153.047567,2025-12-03 02:13:22
61401561,219.9,2025-11-19T22:45:51.76,North,-27.229066920171583,153.08538009325412,2025-12-03 02:13:22
61401568,165.9,2025-12-01T20:32:14.043,South,-27.595754,153.018264,2025-12-03 02:13:22
61401569,219.9,2025-11-20T06:15:51.547,South,-27.680743,153.092073,2025-12-03 02:13:22
61401588,219.9,2025-12-01T19:24:00,South,-27.584259,153.281142,2025-12-03 02:13:22
61401590,199.7,2025-12-01T02:16:49.097,North,-27.435847,153.014906,2025-12-03 02:13:22
61401591,219.9,2025-11-24T02:27:48.387,North,-27.226363,153.036006,2025-12-03 02:13:22
61401599,199.9,2025-12-01T21:56:09.653,South,-27.627512,152.874514,2025-12-03 02:13:22
61401602,219.9,2025-12-01T19:24:00,South,-27.664021,153.063245,2025-12-03 02:13:22
61401603,219.9,2025-12-01T20:37:20.14,South,-27.517268,153.183284,2025-12-03 02:13:22
61401605,179.9,2025-12-01T11:24:34.723,South,-27.522428,153.025696,2025-12-03 02:13:22
61401606,187.5,2025-11-25T20:12:25,North,-27.205038,153.038413,2025-12-03 02:13:22
61401613,189.9,2025-11-30T22:40:13.923,South,-27.53260236370942,153.26623918650816,2025-12-03 02:13:22
61401616,219.9,2025-12-01T19:24:00,South,-27.664026,153.061551,2025-12-03 02:13:22
61401620,173.9,2025-12-01T22:00:12.187,South,-27.663087497535884,153.17983496197124,2025-12-03 02:13:22
61401621,219.9,2025-12-01T19:24:00,South,-27.620499,153.115408,2025-12-03 02:13:22
61401625,161.5,2025-11-21T02:00:31.707,South,-27.54085919169559,153.0089030932541,2025-12-03 02:13:22
61401641,219.9,2025-11-24T21:41:00,South,-27.495853,153.093435,2025-12-03 02:13:22
61401642,169.9,2025-11-01T01:28:17.037,North,-27.065563,153.112506,2025-12-03 02:13:22
61401643,219.9,2025-11-27T02:40:10.473,North,-27.373408,152.886201,2025-12-03 02:13:22
61401658,169.9,2025-12-01T19:30:39,North,-27.080478,153.173647,2025-12-03 02:13:22
61401667,189.9,2025-12-01T18:28:21,South,-27.63233835956184,152.77083162577765,2025-12-03 02:13:22
61401670,219.9,2025-11-24T00:38:07,South,-27.600518,152.870193,2025-12-03 02:13:22
61401676,219.9,2025-12-01T19:24:00,South,-27.491043,153.152854,2025-12-03 02:13:22
61401680,219.7,2025-11-29T06:17:17,North,-27.426073,153.013055,2025-12-03 02:13:22
61401682,219.9,2025-11-24T14:01:00,South,-27.579766,152.716439,2025-12-03 02:13:22
61401683,219.9,2025-11-24T14:01:00,North,-27.156263,152.977055,2025-12-03 02:13:22
61401684,219.9,2025-11-21T02:56:54.89,South,-27.498485,153.027857,2025-12-03 02:13:22
61401685,219.9,2025-11-20T23:28:34.01,South,-27.524837,152.980789,2025-12-03 02:13:22
61401687,209.9,2025-12-01T04:45:03.713,North,-27.425202,152.990017,2025-12-03 02:13:22
61401690,178.9,2025-11-29T02:35:18.707,North,-27.234738,153.087208,2025-12-03 02:13:22
61401691,194.9,2025-11-30T21:34:35.527,North,-27.317652,152.987865,2025-12-03 02:13:22
61401700,198.5,2025-12-02T05:01:08,South,-27.588318,153.027937,2025-12-03 02:13:22
61401701,189.9,2025-11-27T01:25:05.15,South,-27.588236,152.959092,2025-12-03 02:13:22
61401703,189.5,2025-12-02T03:37:37,South,-27.594515343499236,153.00412895337297,2025-12-03 02:13:22
61401707,189.9,2025-12-01T23:01:22.55,North,-27.453052,153.011287,2025-12-03 02:13:22
61401710,159.0,2025-11-28T02:13:19.043,South,-27.546591,153.010459,2025-12-03 02:13:22
61401711,177.9,2025-12-02T00:53:37,South,-27.662759,152.728866,2025-12-03 02:13:22
61401718,168.7,2025-11-30T05:24:31.523,South,-27.545176,153.020003,2025-12-03 02:13:22
61401722,189.9,2025-12-01T20:02:48.84,South,-27.606207,152.903825,2025-12-03 02:13:22
61401723,211.9,2025-12-02T01:20:11.267,South,-27.531502,153.197563,2025-12-03 02:13:22
61401725,219.9,2025-11-25T05:13:44.373,South,-27.604324,152.932499,2025-12-03 02:13:22
61401727,219.9,2025-11-30T23:09:03.02,North,-27.315559,153.061062,2025-12-03 02:13:22
61401728,211.9,2025-12-02T03:07:37,South,-27.514233,153.054808,2025-12-03 02:13:22
61401729,199.9,2025-12-02T02:30:08.647,South,-27.584835,153.301205,2025-12-03 02:13:22
61401730,165.9,2025-12-01T21:29:04.247,North,-27.455124731985503,153.0070409067459,2025-12-03 02:13:22
61401733,219.9,2025-11-18T01:50:24,North,-27.197201,152.984309,2025-12-03 02:13:22
61401734,219.9,2025-11-28T01:05:44.82,South,-27.633636,153.139502,2025-12-03 02:13:22
61401737,189.5,2025-12-02T03:36:27,South,-27.595968,152.987555,2025-12-03 02:13:22
61401738,219.9,2025-11-24T14:01:00,South,-27.679856,153.087847,2025-12-03 02:13:22
61401741,209.9,2025-11-30T23:39:07,South,-27.662509,153.048088,2025-12-03 02:13:22
61401743,219.9,2025-11-19T06:50:48.127,North,-27.249189,153.000822,2025-12-03 02:13:22
61401744,219.9,2025-11-24T14:01:00,South,-27.560198,152.935835,2025-12-03 02:13:22
61401745,219.9,2025-11-23T22:00:51.72,North,-27.281581,152.983155,2025-12-03 02:13:22
61401748,219.9,2025-11-26T21:40:09.79,South,-27.659537,153.168904,2025-12-03 02:13:22
61401749,219.9,2025-11-20T02:11:54.03,North,-27.435613,153.041348,2025-12-03 02:13:22
61401753,219.9,2025-11-21T22:15:53.063,South,-27.600625,152.883996,2025-12-03 02:13:22
61401754,219.9,2025-11-24T14:01:00,South,-27.548472,153.107989,2025-12-03 02:13:22
61401755,219.9,2025-11-24T14:01:00,South,-27.681393,153.114674,2025-12-03 02:13:22
61401756,219.9,2025-11-24T21:15:00,South,-27.596301,152.745933,2025-12-03 02:13:22
61401758,189.9,2025-12-01T22:50:11.12,South,-27.633736,153.119241,2025-12-03 02:13:22
61401759,219.9,2025-11-29T03:57:41,North,-27.467323,153.154015,2025-12-03 02:13:22
61401761,219.9,2025-11-20T06:15:51.547,South,-27.493146,153.216292,2025-12-03 02:13:22
61401766,215.9,2025-12-02T16:00:29.987,South,-27.593532,152.934594,2025-12-03 02:13:22
61401768,219.9,2025-11-25T21:20:12.127,South,-27.633441,152.756625,2025-12-03 02:13:22
61401769,219.9,2025-11-25T04:45:53.39,North,-27.345888,152.964409,2025-12-03 02:13:22
61401770,209.9,2025-11-28T01:13:21.133,South,-27.493179,153.168917,2025-12-03 02:13:22
61401772,219.9,2025-11-27T21:40:11.69,South,-27.640701,153.131201,2025-12-03 02:13:22
61401773,219.4,2025-11-25T19:45:05.447,South,-27.667011,153.139313,2025-12-03 02:13:22
61401774,166.5,2025-11-29T10:34:56,South,-27.557625,153.015262,2025-12-03 02:13:22
61401775,219.9,2025-11-24T14:01:00,South,-27.562496,152.886875,2025-12-03 02:13:22
61401777,167.5,2025-12-01T04:40:15.523,South,-27.617782,153.094057,2025-12-03 02:13:22
61401778,219.9,2025-11-25T21:20:12.143,South,-27.634994,152.916347,2025-12-03 02:13:22
61401779,219.9,2025-11-28T06:35:42.55,South,-27.535062,153.266974,2025-12-03 02:13:22
61401780,219.9,2025-11-21T03:30:56.903,North,-27.190235,153.018421,2025-12-03 02:13:22
61401781,189.5,2025-12-01T23:11:02.053,North,-27.290068,152.984536,2025-12-03 02:13:22
61401782,219.9,2025-11-24T14:01:00,North,-27.042111,152.975171,2025-12-03 02:13:22
61401856,199.9,2025-12-02T09:07:14.983,North,-27.007343,152.944651,2025-12-03 02:13:22
61401858,215.4,2025-11-25T00:15:06.853,North,-27.079253,152.951795,2025-12-03 02:13:22
61401861,215.5,2025-11-25T23:37:46.283,North,-27.084568,152.958178,2025-12-03 02:13:22
61401862,219.9,2025-11-24T14:01:00,North,-27.086965,152.980739,2025-12-03 02:13:22
61401863,169.9,2025-11-24T02:25:06.45,North,-27.072802,153.025162,2025-12-03 02:13:22
61401866,219.9,2025-11-23T01:15:52.87,North,-27.098137,152.94905576686477,2025-12-03 02:13:22
61401868,219.9,2025-12-01T19:24:00,North,-27.112363,152.950651,2025-12-03 02:13:22
61401881,212.9,2025-12-01T22:55:11.967,South,-27.595176,153.121695,2025-12-03 02:13:22
61401886,214.9,2025-11-30T22:48:38.147,South,-27.602084,153.056501,2025-12-03 02:13:22
61401887,219.9,2025-11-24T14:01:00,South,-27.524198,153.253795,2025-12-03 02:13:22
61401888,216.9,2025-12-01T23:17:00,South,-27.597824,152.949918,2025-12-03 02:13:22
61401894,219.9,2025-11-24T14:01:00,North,-27.281231,152.982252,2025-12-03 02:13:22
61401899,219.9,2025-12-02T16:00:00,South,-27.628223,152.883713,2025-12-03 02:13:22
61401905,215.9,2025-12-01T22:50:11.137,South,-27.596746,152.949854,2025-12-03 02:13:22
61401906,201.9,2025-12-02T16:00:29.987,South,-27.575708,153.087955,2025-12-03 02:13:22
61401907,194.9,2025-12-01T20:45:06.77,North,-27.317756,153.009186,2025-12-03 02:13:22
61401908,219.9,2025-12-02T16:00:00,North,-27.383445,153.064113,2025-12-03 02:13:22
61401910,219.9,2025-11-23T06:15:58.077,South,-27.610975,153.067873,2025-12-03 02:13:22
61401911,219.9,2025-11-23T04:05:47.467,South,-27.572365,152.791976,2025-12-03 02:13:22
61401912,189.5,2025-12-01T23:01:00.97,South,-27.570459356616315,152.9810493558197,2025-12-03 02:13:22
61401914,219.9,2025-12-01T19:24:00,North,-27.363889718122927,153.01311577315525,2025-12-03 02:13:22
61401915,219.9,2025-12-02T16:00:00,North,-27.415386,152.977543,2025-12-03 02:13:22
61401916,198.5,2025-12-02T03:43:28,South,-27.580433143071236,153.02631481719666,2025-12-03 02:13:22
61401917,170.9,2025-11-20T20:40:31.477,South,-27.499065138785195,152.9674647949676,2025-12-03 02:13:22
61401919,219.9,2025-11-26T21:20:11.2,South,-27.642988,153.100369,2025-12-03 02:13:22
61401921,185.9,2025-12-01T05:36:07.287,South,-27.597516,153.109135,2025-12-03 02:13:22
61401922,219.9,2025-11-24T14:01:00,North,-27.085152,152.957808,2025-12-03 02:13:22
61401923,219.9,2025-12-01T19:24:00,South,-27.475413,153.165772,2025-12-03 02:13:22
61401924,219.9,2025-11-24T21:16:00,North,-27.326024,152.979019,2025-12-03 02:13:22
61401926,199.9,2025-11-24T01:43:13.03,South,-27.546897,152.822363,2025-12-03 02:13:22
61401928,219.9,2025-11-24T21:25:00,South,-27.547407,153.128337,2025-12-03 02:13:22
61401929,219.9,2025-11-25T00:20:46.077,South,-27.499187,153.126507,2025-12-03 02:13:22
61401930,219.9,2025-12-01T19:24:00,South,-27.545381,153.121763,2025-12-03 02:13:22
61401931,197.9,2025-11-27T19:30:25.947,South,-27.676512,153.024581,2025-12-03 02:13:22
61401934,219.9,2025-12-01T20:42:56.113,North,-27.264616,153.005048,2025-12-03 02:13:22
61401938,169.9,2025-12-01T02:02:01,South,-27.521129,153.199215,2025-12-03 02:13:22
