site_id,latitude,longitude,name,postcode,suburb,display_brand,brand
61401334,-27.411093,153.023635,Ampol Foodary Stafford,4053,"Stafford Heights, Everton Hills, Mcdowall, Mitchelton, Stafford City, Stafford Dc, Oxford Park, Somerset Hills, Brookside Centre, Everton Park, Stafford Bc, Stafford",🔴 Ampol,Ampol
61401341,-27.427403,153.050405,Caltex Clayfield,4011,"Clayfield, Eagle Junction, Hendra",🔴 Ampol,Ampol
61401343,-27.424641,153.014052,Liberty Grange,4051,"Alderley, Newmarket, Wilston, The Grange, Gaythorne, Enoggera, Grange",⛽ Independent,Independent
61401344,-27.426624,153.017032,Caltex Grange,4051,"Alderley, Newmarket, Wilston, The Grange, Gaythorne, Enoggera, Grange",🔴 Ampol,Ampol
61401347,-27.43604130193541,153.03187014847944,BP Windsor,4030,"Wooloowin, Lutwyche, Eildon Hill, Windsor, Kalinga",🟢 BP,BP
61401348,-27.425953,153.032041,U-Go Lutwyche,4030,"Wooloowin, Lutwyche, Eildon Hill, Windsor, Kalinga",⛽ Independent,Independent
61401349,-27.4289939652634,153.036903,7-Eleven Albion,4010,"Albion Dc, Albion, Albion Bc, Breakfast Creek",🟠 7-Eleven,7-Eleven
61401353,-27.439652,153.049148,BP Connect Hamilton,4007,"Whinstanes, Hamilton Central, Doomben, Brisbane Airport, Ascot, Hamilton",🟢 BP,BP
61401357,-27.428241,153.062278,7-Eleven Ascot,4007,"Whinstanes, Hamilton Central, Doomben, Brisbane Airport, Ascot, Hamilton",🟠 7-Eleven,7-Eleven
61401359,-27.434674,153.079056,Ampol Eagle Farm,4009,"Eagle Farm Bc, Eagle Farm",🔴 Ampol,Ampol
61401365,-27.443116,153.143691,BP Lindum,4178,"Wynnum Central, Lindum, Port Of Brisbane, Wynnum Plaza, Wynnum West, Wynnum, Wynnum North, Lytton",🟢 BP,BP
61401366,-27.443582,153.157939,Shell Reddy Express Wynnum,4178,"Wynnum Central, Lindum, Port Of Brisbane, Wynnum Plaza, Wynnum West, Wynnum, Wynnum North, Lytton",🟡 Shell,Shell
61401367,-27.459016,153.151452,Caltex Wynnum West,4178,"Wynnum Central, Lindum, Port Of Brisbane, Wynnum Plaza, Wynnum West, Wynnum, Wynnum North, Lytton",🔴 Ampol,Ampol
61401371,-27.45463473648407,153.16652018650822,Caltex Wynnum,4178,"Wynnum Central, Lindum, Port Of Brisbane, Wynnum Plaza, Wynnum West, Wynnum, Wynnum North, Lytton",🔴 Ampol,Ampol
61401373,-27.457538,153.178798,BP Manly,4179,"Lota, Manly West, Manly",🟢 BP,BP
61401375,-27.442904,152.943808,7-Eleven The Gap,4061,The Gap,🟠 7-Eleven,7-Eleven
61401377,-27.446887,152.959528,BP The Gap,4061,The Gap,🟢 BP,BP
61401380,-27.445996,152.991244,7-Eleven Ashgrove,4060,"Ashgrove East, St Johns Wood, Ashgrove West, Dorrington, Ashgrove",🟠 7-Eleven,7-Eleven
61401382,-27.446283,152.997578,BP Ashgrove (Waterworks Rd),4060,"Ashgrove East, St Johns Wood, Ashgrove West, Dorrington, Ashgrove",🟢 BP,BP
