site_id,price_cpl,reported_at,name,latitude,longitude,brand_id,postcode,region,state,scraped_at
61401367,219.9,2026-09-17T01:04:45.28,Caltex Wynnum West,-27.459016,153.151452,2,4178,North,QLD,2026-09-18 15:24:48
61477652,239.9,2026-09-17T01:09:46.033,Caltex Bundamba,-27.588524,152.821812,2,4304,South,QLD,2026-09-18 15:24:48
61401886,223.9,2026-09-17T02:14:06.513,Liberty Sunnybank Hills,-27.602084,153.056501,86,4109,South,QLD,2026-09-18 15:24:48
61402678,239.9,2026-09-17T02:40:16.61,Caltex Dayboro,-27.195955,152.825947,2,4521,North,QLD,2026-09-18 15:24:48
61402344,224.9,2026-09-17T03:47:18.797,Ampol Hemmant,-27.430687,153.133072,3421066,4174,North,QLD,2026-09-18 15:24:48
61401309,232.9,2026-09-17T03:59:13.663,Caltex Everton Park,-27.401257,152.986898,2,4053,North,QLD,2026-09-18 15:24:48
61401386,240.9,2026-09-17T04:18:42.333,Bizzells Garage Paddington,-27.459076,152.998383,12,4064,North,QLD,2026-09-18 15:24:48
61401280,237.9,2026-09-17T04:30:42.343,Shell Reddy Express Geebung,-27.374166,153.035974,3421193,4034,North,QLD,2026-09-18 15:24:48
61401773,239.9,2026-09-17T04:55:07.39,United Loganlea,-27.667011,153.139313,23,4131,South,QLD,2026-09-18 15:24:48
61401670,240.9,2026-09-17T07:53:22,Ampol Redbank,-27.600518,152.870193,3421066,4301,South,QLD,2026-09-18 15:24:48
61401199,222.9,2026-09-17T08:23:07.71,BP Stones Corner,-27.502373,153.045544,5,4120,South,QLD,2026-09-18 15:24:48
61402878,219.9,2026-09-17T08:26:18,BP Amberley,-27.658941,152.708684,5,4306,South,QLD,2026-09-18 15:24:48
61477099,229.9,2026-09-17T11:45:04.05,Astron Beachmere,-27.128704843124698,153.0516013868227,114,4510,North,QLD,2026-09-18 15:24:48
61401329,228.3,2026-09-17T12:10:16.863,Caltex Kedron,-27.407241,153.032891,2,4031,North,QLD,2026-09-18 15:24:48
61402388,221.5,2026-09-17T13:07:06,Pearl Energy Deagon,-27.328365,153.053801,3421139,4017,North,QLD,2026-09-18 15:24:48
61401774,219.5,2026-09-17T13:11:28,Pearl Energy Rocklea,-27.557625,153.015262,3421139,4106,South,QLD,2026-09-18 15:24:48
61401737,219.5,2026-09-17T13:12:36,Pearl Energy Durack,-27.595968,152.987555,3421139,4077,South,QLD,2026-09-18 15:24:48
61401551,239.9,2026-09-17T16:00:00,EG Ampol Kenmore,-27.507567,152.940427,3421073,4069,South,QLD,2026-09-18 15:24:48
61478220,233.9,2026-09-17T16:00:00,EG Ampol Ripley South,-27.69132089938983,152.8031637374344,3421073,4306,South,QLD,2026-09-18 15:24:48
61401745,239.9,2026-09-17T16:37:09.16,BP Lawnton,-27.281581,152.983155,5,4501,North,QLD,2026-09-18 15:24:48
61401727,239.9,2026-09-17T18:33:07.677,BP Sandgate,-27.315559,153.061062,5,4017,North,QLD,2026-09-18 15:24:48
61401703,219.5,2026-09-17T18:57:35,Pearl Energy Willawong,-27.594515343499236,153.00412895337297,3421139,4110,South,QLD,2026-09-18 15:24:48
61401916,219.5,2026-09-17T19:06:32,Pearl Energy Acacia Ridge,-27.580433143071236,153.02631481719666,3421139,4110,South,QLD,2026-09-18 15:24:48
61401147,211.5,2026-09-17T19:11:28,Pearl Energy Cannon Hill,-27.469588810651647,153.0956865626759,3421139,4170,North,QLD,2026-09-18 15:24:48
61401759,211.5,2026-09-17T19:12:15,Pearl Energy Manly West,-27.467233,153.154095,3421139,4179,North,QLD,2026-09-18 15:24:48
